positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
1,15,15,0.01493
1,21,21,0.01493
1,28,28,0.01493
1,36,36,0.01493
1,45,45,0.01493
2,55,55,0.02985
2,66,66,0.02985
7,79,79,0.10448
8,94,94,0.11940
13,111,111,0.19403
16,130,130,0.23881
23,151,151,0.34328
27,175,175,0.40299
29,202,202,0.43284
34,232,232,0.50746
37,265,262,0.55224
38,302,292,0.56716
39,343,322,0.58209
43,389,352,0.64179
45,440,382,0.67164
50,497,412,0.74627
55,560,442,0.82090
55,630,472,0.82090
58,707,502,0.86567
60,792,532,0.89552
62,886,562,0.92537
62,990,592,0.92537
65,1105,622,0.97015
65,1232,652,0.97015
65,1372,682,0.97015
65,1526,712,0.97015
65,1696,742,0.97015
65,1883,772,0.97015
65,2089,802,0.97015
65,2316,832,0.97015
65,2566,862,0.97015
65,2841,892,0.97015
65,3144,922,0.97015
65,3478,952,0.97015
67,3846,982,1.00000
67,4251,1012,1.00000
67,4697,1042,1.00000
67,5188,1072,1.00000
67,5729,1102,1.00000
67,6325,1132,1.00000
67,6981,1162,1.00000
67,7703,1192,1.00000
67,8498,1222,1.00000
67,9373,1252,1.00000
67,10336,1282,1.00000
67,11396,1312,1.00000
67,12562,1342,1.00000
67,13845,1372,1.00000
67,15257,1402,1.00000
67,16811,1432,1.00000
67,18521,1462,1.00000
67,20402,1492,1.00000
67,22472,1522,1.00000
67,24749,1552,1.00000
67,27254,1582,1.00000
67,30010,1612,1.00000
67,33042,1642,1.00000
67,36378,1672,1.00000
67,40048,1702,1.00000
67,44085,1732,1.00000
67,48526,1762,1.00000
67,53412,1792,1.00000
67,58787,1822,1.00000
67,64700,1852,1.00000
67,71205,1882,1.00000
67,78361,1912,1.00000
67,86233,1942,1.00000
67,94893,1972,1.00000
67,104419,2002,1.00000
67,114898,2032,1.00000
67,126425,2062,1.00000
