positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
0,45,45,0.00000
0,55,55,0.00000
0,66,66,0.00000
0,79,79,0.00000
0,94,94,0.00000
0,111,111,0.00000
0,130,130,0.00000
1,151,151,0.01087
1,175,175,0.01087
13,202,202,0.14130
16,232,232,0.17391
35,265,262,0.38043
46,302,292,0.50000
59,343,322,0.64130
68,389,352,0.73913
75,440,382,0.81522
79,497,412,0.85870
84,560,442,0.91304
87,630,472,0.94565
87,707,502,0.94565
89,792,532,0.96739
90,886,562,0.97826
90,990,592,0.97826
91,1105,622,0.98913
91,1232,652,0.98913
91,1372,682,0.98913
91,1526,712,0.98913
91,1696,742,0.98913
91,1883,772,0.98913
91,2089,802,0.98913
91,2316,832,0.98913
92,2566,862,1.00000
92,2841,892,1.00000
92,3144,922,1.00000
92,3478,952,1.00000
92,3846,982,1.00000
92,4251,1012,1.00000
92,4697,1042,1.00000
92,5188,1072,1.00000
92,5729,1102,1.00000
92,6325,1132,1.00000
92,6981,1162,1.00000
92,7703,1192,1.00000
92,8498,1222,1.00000
92,9373,1252,1.00000
92,10336,1282,1.00000
92,11396,1312,1.00000
92,12562,1342,1.00000
92,13845,1372,1.00000
92,15257,1402,1.00000
92,16811,1432,1.00000
92,18521,1462,1.00000
92,20402,1492,1.00000
92,22472,1522,1.00000
92,24749,1552,1.00000
92,27254,1582,1.00000
92,30010,1612,1.00000
92,33042,1642,1.00000
92,36378,1672,1.00000
92,40048,1702,1.00000
92,44085,1732,1.00000
92,48526,1762,1.00000
92,53412,1792,1.00000
92,58787,1822,1.00000
92,64700,1852,1.00000
92,71205,1882,1.00000
92,78361,1912,1.00000
92,86233,1942,1.00000
92,94893,1972,1.00000
92,104419,2002,1.00000
92,114898,2032,1.00000
92,126425,2062,1.00000
