positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
1,15,15,0.01449
3,21,21,0.04348
5,28,28,0.07246
10,36,36,0.14493
14,45,45,0.20290
23,55,55,0.33333
30,66,66,0.43478
37,79,79,0.53623
40,94,94,0.57971
47,111,111,0.68116
49,130,130,0.71014
55,151,151,0.79710
55,175,175,0.79710
57,202,202,0.82609
60,232,232,0.86957
60,265,262,0.86957
62,302,292,0.89855
62,343,322,0.89855
64,389,352,0.92754
65,440,382,0.94203
68,497,412,0.98551
68,560,442,0.98551
68,630,472,0.98551
68,707,502,0.98551
68,792,532,0.98551
68,886,562,0.98551
68,990,592,0.98551
68,1105,622,0.98551
68,1232,652,0.98551
68,1372,682,0.98551
68,1526,712,0.98551
68,1696,742,0.98551
69,1883,772,1.00000
69,2089,802,1.00000
69,2316,832,1.00000
69,2566,862,1.00000
69,2841,892,1.00000
69,3144,922,1.00000
69,3478,952,1.00000
69,3846,982,1.00000
69,4251,1012,1.00000
69,4697,1042,1.00000
69,5188,1072,1.00000
69,5729,1102,1.00000
69,6325,1132,1.00000
69,6981,1162,1.00000
69,7703,1192,1.00000
69,8498,1222,1.00000
69,9373,1252,1.00000
69,10336,1282,1.00000
69,11396,1312,1.00000
69,12562,1342,1.00000
69,13845,1372,1.00000
69,15257,1402,1.00000
69,16811,1432,1.00000
69,18521,1462,1.00000
69,20402,1492,1.00000
69,22472,1522,1.00000
69,24749,1552,1.00000
69,27254,1582,1.00000
69,30010,1612,1.00000
69,33042,1642,1.00000
69,36378,1672,1.00000
69,40048,1702,1.00000
69,44085,1732,1.00000
69,48526,1762,1.00000
69,53412,1792,1.00000
69,58787,1822,1.00000
69,64700,1852,1.00000
69,71205,1882,1.00000
69,78361,1912,1.00000
69,86233,1942,1.00000
69,94893,1972,1.00000
69,104419,2002,1.00000
69,114898,2032,1.00000
69,126425,2062,1.00000
