positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
1,28,28,0.03226
2,36,36,0.06452
6,45,45,0.19355
12,55,55,0.38710
14,66,66,0.45161
15,79,79,0.48387
19,94,94,0.61290
22,111,111,0.70968
25,130,130,0.80645
26,151,151,0.83871
27,175,175,0.87097
27,202,202,0.87097
29,232,232,0.93548
29,265,262,0.93548
30,302,292,0.96774
31,343,322,1.00000
31,389,352,1.00000
31,440,382,1.00000
31,497,412,1.00000
31,560,442,1.00000
31,630,472,1.00000
31,707,502,1.00000
31,792,532,1.00000
31,886,562,1.00000
31,990,592,1.00000
31,1105,622,1.00000
31,1232,652,1.00000
31,1372,682,1.00000
31,1526,712,1.00000
31,1696,742,1.00000
31,1883,772,1.00000
31,2089,802,1.00000
31,2316,832,1.00000
31,2566,862,1.00000
31,2841,892,1.00000
31,3144,922,1.00000
31,3478,952,1.00000
31,3846,982,1.00000
31,4251,1012,1.00000
31,4697,1042,1.00000
31,5188,1072,1.00000
31,5729,1102,1.00000
31,6325,1132,1.00000
31,6981,1162,1.00000
31,7703,1192,1.00000
31,8498,1222,1.00000
31,9373,1252,1.00000
31,10336,1282,1.00000
31,11396,1312,1.00000
31,12562,1342,1.00000
31,13845,1372,1.00000
31,15257,1402,1.00000
31,16811,1432,1.00000
31,18521,1462,1.00000
31,20402,1492,1.00000
31,22472,1522,1.00000
31,24749,1552,1.00000
31,27254,1582,1.00000
31,30010,1612,1.00000
31,33042,1642,1.00000
31,36378,1672,1.00000
31,40048,1702,1.00000
31,44085,1732,1.00000
31,48526,1762,1.00000
31,53412,1792,1.00000
31,58787,1822,1.00000
31,64700,1852,1.00000
31,71205,1882,1.00000
31,78361,1912,1.00000
31,86233,1942,1.00000
31,94893,1972,1.00000
31,104419,2002,1.00000
31,114898,2032,1.00000
31,126425,2062,1.00000
